agrupacion_nombre,votos_cantidad,distrito_nombre
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,12727,CHUBUT
FRENTE DE TODOS,167164,CHUBUT
FRENTE NOS,13746,CHUBUT
JUNTOS POR EL CAMBIO,94685,CHUBUT
UNITE POR LA LIBERTAD Y LA DIGNIDAD,7814,CHUBUT
CONSENSO FEDERAL,7500,LA RIOJA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,1934,LA RIOJA
FRENTE DE TODOS,82526,LA RIOJA
FRENTE NOS,2011,LA RIOJA
JUNTOS POR EL CAMBIO,76831,LA RIOJA
UNITE POR LA LIBERTAD Y LA DIGNIDAD,2666,LA RIOJA
CONSENSO FEDERAL,14690,LA PAMPA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4579,LA PAMPA
FRENTE DE TODOS,111461,LA PAMPA
FRENTE NOS,4525,LA PAMPA
JUNTOS POR EL CAMBIO,83918,LA PAMPA
UNITE POR LA LIBERTAD Y LA DIGNIDAD,3388,LA PAMPA
CONSENSO FEDERAL,27198,CHACO
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6867,CHACO
FRENTE DE TODOS,399263,CHACO
FRENTE NOS,20470,CHACO
JUNTOS POR EL CAMBIO,255219,CHACO
UNITE POR LA LIBERTAD Y LA DIGNIDAD,7748,CHACO
CONSENSO FEDERAL,32734,SAN JUAN
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6886,SAN JUAN
FRENTE DE TODOS,239808,SAN JUAN
FRENTE NOS,8299,SAN JUAN
JUNTOS POR EL CAMBIO,158956,SAN JUAN
UNITE POR LA LIBERTAD Y LA DIGNIDAD,5705,SAN JUAN
CONSENSO FEDERAL,23575,MISIONES
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6738,MISIONES
FRENTE DE TODOS,403864,MISIONES
FRENTE NOS,20567,MISIONES
JUNTOS POR EL CAMBIO,238020,MISIONES
UNITE POR LA LIBERTAD Y LA DIGNIDAD,8350,MISIONES
CONSENSO FEDERAL,610009,BUENOS AIRES
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,260597,BUENOS AIRES
FRENTE DE TODOS,5032267,BUENOS AIRES
FRENTE NOS,142287,BUENOS AIRES
JUNTOS POR EL CAMBIO,3468667,BUENOS AIRES
UNITE POR LA LIBERTAD Y LA DIGNIDAD,139231,BUENOS AIRES
CONSENSO FEDERAL,112722,CÓRDOBA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,37362,CÓRDOBA
FRENTE DE TODOS,658434,CÓRDOBA
FRENTE NOS,31657,CÓRDOBA
JUNTOS POR EL CAMBIO,1378834,CÓRDOBA
UNITE POR LA LIBERTAD Y LA DIGNIDAD,30038,CÓRDOBA
CONSENSO FEDERAL,18798,CORRIENTES
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5823,CORRIENTES
FRENTE DE TODOS,301275,CORRIENTES
FRENTE NOS,10939,CORRIENTES
JUNTOS POR EL CAMBIO,250610,CORRIENTES
UNITE POR LA LIBERTAD Y LA DIGNIDAD,6114,CORRIENTES
CONSENSO FEDERAL,12392,CATAMARCA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3369,CATAMARCA
FRENTE DE TODOS,124436,CATAMARCA
FRENTE NOS,2002,CATAMARCA
JUNTOS POR EL CAMBIO,74654,CATAMARCA
UNITE POR LA LIBERTAD Y LA DIGNIDAD,2825,CATAMARCA
