agrupacion_nombre,votos_cantidad,distrito_nombre
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,15343,RÍO NEGRO
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,178591,RÍO NEGRO
ALIANZA PROGRESISTAS                                                                                ,11089,RÍO NEGRO
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,95764,RÍO NEGRO
ALIANZA CAMBIEMOS                                                                                   ,103395,NEUQUÉN
ALIANZA COMPROMISO FEDERAL                                                                          ,6752,NEUQUÉN
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,19961,NEUQUÉN
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,131169,NEUQUÉN
ALIANZA PROGRESISTAS                                                                                ,9867,NEUQUÉN
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,96888,NEUQUÉN
ALIANZA CAMBIEMOS                                                                                   ,144900,MISIONES
ALIANZA COMPROMISO FEDERAL                                                                          ,2320,MISIONES
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,5785,MISIONES
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,388839,MISIONES
ALIANZA PROGRESISTAS                                                                                ,8077,MISIONES
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,87284,MISIONES
ALIANZA CAMBIEMOS                                                                                   ,59136,CHUBUT
ALIANZA COMPROMISO FEDERAL                                                                          ,2669,CHUBUT
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,10099,CHUBUT
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,114984,CHUBUT
ALIANZA PROGRESISTAS                                                                                ,8319,CHUBUT
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,81436,CHUBUT
