agrupacion_nombre,votos_cantidad,distrito_nombre
ALIANZA CAMBIEMOS                                                                                   ,3031168,BUENOS AIRES
ALIANZA COMPROMISO FEDERAL                                                                          ,89256,BUENOS AIRES
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,341734,BUENOS AIRES
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,3419041,BUENOS AIRES
ALIANZA PROGRESISTAS                                                                                ,264583,BUENOS AIRES
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,2062610,BUENOS AIRES
ALIANZA CAMBIEMOS                                                                                   ,1142493,CÓRDOBA
ALIANZA COMPROMISO FEDERAL                                                                          ,46125,CÓRDOBA
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,68478,CÓRDOBA
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,412263,CÓRDOBA
ALIANZA PROGRESISTAS                                                                                ,38768,CÓRDOBA
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,437791,CÓRDOBA
ALIANZA CAMBIEMOS                                                                                   ,704358,SANTA FE
ALIANZA COMPROMISO FEDERAL                                                                          ,29924,SANTA FE
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,53451,SANTA FE
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,633968,SANTA FE
ALIANZA PROGRESISTAS                                                                                ,78879,SANTA FE
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,495005,SANTA FE
ALIANZA CAMBIEMOS                                                                                   ,81437,SANTIAGO DEL ESTERO
ALIANZA COMPROMISO FEDERAL                                                                          ,2580,SANTIAGO DEL ESTERO
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,8068,SANTIAGO DEL ESTERO
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,349043,SANTIAGO DEL ESTERO
ALIANZA PROGRESISTAS                                                                                ,5248,SANTIAGO DEL ESTERO
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,107015,SANTIAGO DEL ESTERO
ALIANZA CAMBIEMOS                                                                                   ,287704,ENTRE RÍOS
ALIANZA COMPROMISO FEDERAL                                                                          ,7444,ENTRE RÍOS
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,13442,ENTRE RÍOS
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,286020,ENTRE RÍOS
ALIANZA PROGRESISTAS                                                                                ,15930,ENTRE RÍOS
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,150232,ENTRE RÍOS
ALIANZA CAMBIEMOS                                                                                   ,144103,SALTA
ALIANZA COMPROMISO FEDERAL                                                                          ,5426,SALTA
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,19189,SALTA
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,281438,SALTA
ALIANZA PROGRESISTAS                                                                                ,7390,SALTA
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,236317,SALTA
ALIANZA CAMBIEMOS                                                                                   ,84032,SAN JUAN
ALIANZA COMPROMISO FEDERAL                                                                          ,14043,SAN JUAN
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,5927,SAN JUAN
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,185487,SAN JUAN
ALIANZA PROGRESISTAS                                                                                ,7077,SAN JUAN
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,106060,SAN JUAN
ALIANZA CAMBIEMOS                                                                                   ,83858,SAN LUIS
ALIANZA COMPROMISO FEDERAL                                                                          ,99658,SAN LUIS
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,4842,SAN LUIS
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,42298,SAN LUIS
ALIANZA PROGRESISTAS                                                                                ,3599,SAN LUIS
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,36627,SAN LUIS
ALIANZA CAMBIEMOS                                                                                   ,43465,SANTA CRUZ
ALIANZA COMPROMISO FEDERAL                                                                          ,766,SANTA CRUZ
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,5353,SANTA CRUZ
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,79714,SANTA CRUZ
ALIANZA PROGRESISTAS                                                                                ,2008,SANTA CRUZ
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,37681,SANTA CRUZ
ALIANZA CAMBIEMOS                                                                                   ,196145,CORRIENTES
ALIANZA COMPROMISO FEDERAL                                                                          ,3341,CORRIENTES
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,6847,CORRIENTES
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,310626,CORRIENTES
ALIANZA PROGRESISTAS                                                                                ,6538,CORRIENTES
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,94117,CORRIENTES
ALIANZA CAMBIEMOS                                                                                   ,65509,JUJUY
ALIANZA COMPROMISO FEDERAL                                                                          ,1877,JUJUY
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,9221,JUJUY
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,139532,JUJUY
ALIANZA PROGRESISTAS                                                                                ,2882,JUJUY
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,154831,JUJUY
ALIANZA CAMBIEMOS                                                                                   ,42148,FORMOSA
ALIANZA COMPROMISO FEDERAL                                                                          ,614,FORMOSA
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,2478,FORMOSA
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,169466,FORMOSA
ALIANZA PROGRESISTAS                                                                                ,1010,FORMOSA
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,46000,FORMOSA
ALIANZA CAMBIEMOS                                                                                   ,181189,CHACO
ALIANZA COMPROMISO FEDERAL                                                                          ,4587,CHACO
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,9262,CHACO
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,344281,CHACO
ALIANZA PROGRESISTAS                                                                                ,6866,CHACO
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,94400,CHACO
ALIANZA CAMBIEMOS                                                                                   ,247733,TUCUMÁN
ALIANZA COMPROMISO FEDERAL                                                                          ,8567,TUCUMÁN
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,16497,TUCUMÁN
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,448055,TUCUMÁN
ALIANZA PROGRESISTAS                                                                                ,12812,TUCUMÁN
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,189463,TUCUMÁN
ALIANZA CAMBIEMOS                                                                                   ,19943,TIERRA DEL FUEGO
ALIANZA COMPROMISO FEDERAL                                                                          ,1484,TIERRA DEL FUEGO
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,4017,TIERRA DEL FUEGO
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,41569,TIERRA DEL FUEGO
ALIANZA PROGRESISTAS                                                                                ,3009,TIERRA DEL FUEGO
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,21373,TIERRA DEL FUEGO
ALIANZA CAMBIEMOS                                                                                   ,66529,CATAMARCA
ALIANZA COMPROMISO FEDERAL                                                                          ,1958,CATAMARCA
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,3135,CATAMARCA
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,84414,CATAMARCA
ALIANZA PROGRESISTAS                                                                                ,2155,CATAMARCA
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,29838,CATAMARCA
ALIANZA CAMBIEMOS                                                                                   ,990826,CIUDAD AUTÓNOMA DE BUENOS AIRES
ALIANZA COMPROMISO FEDERAL                                                                          ,14019,CIUDAD AUTÓNOMA DE BUENOS AIRES
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,83944,CIUDAD AUTÓNOMA DE BUENOS AIRES
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,472155,CIUDAD AUTÓNOMA DE BUENOS AIRES
ALIANZA PROGRESISTAS                                                                                ,99723,CIUDAD AUTÓNOMA DE BUENOS AIRES
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,299415,CIUDAD AUTÓNOMA DE BUENOS AIRES
ALIANZA CAMBIEMOS                                                                                   ,441436,MENDOZA
ALIANZA COMPROMISO FEDERAL                                                                          ,47856,MENDOZA
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,82443,MENDOZA
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,339032,MENDOZA
ALIANZA PROGRESISTAS                                                                                ,15627,MENDOZA
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,155446,MENDOZA
ALIANZA CAMBIEMOS                                                                                   ,62758,LA RIOJA
ALIANZA COMPROMISO FEDERAL                                                                          ,6598,LA RIOJA
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,3364,LA RIOJA
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,71721,LA RIOJA
ALIANZA PROGRESISTAS                                                                                ,2190,LA RIOJA
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,51443,LA RIOJA
ALIANZA CAMBIEMOS                                                                                   ,69725,LA PAMPA
ALIANZA COMPROMISO FEDERAL                                                                          ,3703,LA PAMPA
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,5151,LA PAMPA
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,78536,LA PAMPA
ALIANZA PROGRESISTAS                                                                                ,5405,LA PAMPA
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,44669,LA PAMPA
ALIANZA CAMBIEMOS                                                                                   ,88620,RÍO NEGRO
ALIANZA COMPROMISO FEDERAL                                                                          ,5635,RÍO NEGRO
