agrupacion_nombre,votos_cantidad,distrito_nombre
ALIANZA FRENTE DE IZQUIERDA Y DE LOS TRABAJADORES                                                   ,329432,BUENOS AIRES
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,3098900,BUENOS AIRES
ALIANZA PROGRESISTAS                                                                                ,209021,BUENOS AIRES
ALIANZA UNIDOS POR UNA NUEVA ALTERNATIVA (UNA)                                                      ,1693151,BUENOS AIRES
CAMBIEMOS BUENOS AIRES                                                                              ,3478505,BUENOS AIRES
ALIANZA CAMBIEMOS                                                                                   ,67654,SAN LUIS
ALIANZA COMPROMISO FEDERAL                                                                          ,129842,SAN LUIS
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,31593,SAN LUIS
MOVIMIENTO DE ACCION VECINAL                                                                        ,1641,SAN LUIS
PARTIDO UNION VECINAL PROV.                                                                         ,422,SAN LUIS
FRENTE DE IZQUIERDA Y LOS TRABAJADORES                                                              ,3621,SANTA CRUZ
FRENTE PARA LA VICTORIA SANTACRUCEÑA                                                                ,84433,SANTA CRUZ
MOVIMIENTO AL SOCIALISMO                                                                            ,202,SANTA CRUZ
MST-MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                       ,443,SANTA CRUZ
UNION PARA VIVIR MEJOR                                                                              ,74990,SANTA CRUZ
DEL OBRERO                                                                                          ,4441,MISIONES
FRENTE CIVICO Y SOCIAL                                                                              ,51151,MISIONES
"FRENTE POPULAR - DE LOS RIOS LIBRES, LAS CHACRAS Y EL TRABAJO                                       ",1962,MISIONES
FRENTE RENOVADOR DE LA CONCORDIA FTE PARA LA VICTORIA                                               ,379874,MISIONES
FRENTE UNIDOS UNA                                                                                   ,38762,MISIONES
MOVIMIENTO GENERACIONAL                                                                             ,928,MISIONES
MOVIMIENTO SOCIAL PARA UNA MEJOR VIDA                                                               ,2431,MISIONES
PROYECTO AGRARIO Y SOCIAL PAYS                                                                      ,36059,MISIONES
UNIDOS POR UNA NUEVA ALTERNATIVA                                                                    ,2473,MISIONES
VAMOS JUNTOS                                                                                        ,80951,MISIONES
ALIANZA COMPROMISO CON SAN JUAN                                                                     ,121838,SAN JUAN
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,213244,SAN JUAN
ALIANZA FRENTE PROGRESISTA POPULAR                                                                  ,6760,SAN JUAN
CRUZADA RENOVADORA                                                                                  ,5596,SAN JUAN
JUNTOS POR SAN JUAN                                                                                 ,48560,SAN JUAN
NUEVA IZQUIERDA                                                                                     ,1905,SAN JUAN
ALIANZA CAMBIEMOS                                                                                   ,277992,ENTRE RÍOS
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,297378,ENTRE RÍOS
SOCIALISTA                                                                                          ,18082,ENTRE RÍOS
UNION POPULAR                                                                                       ,108996,ENTRE RÍOS
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,126014,JUJUY
FRENTE CAMBIA JUJUY                                                                                 ,206344,JUJUY
FRENTE DE IZQUIERDA Y LOS TRABAJADORES                                                              ,10201,JUJUY
INSTRUMENTO ELECTORAL POR LA UNIDAD POPULAR                                                         ,1293,JUJUY
MOVIMIENTO COMUNITARIO PLURICULTURAL                                                                ,2312,JUJUY
NUEVA IZQUIERDA                                                                                     ,1014,JUJUY
PARTIDO POR LA DIGNIDAD DEL PUEBLO                                                                  ,6499,JUJUY
ALIANZA CAMBIEMOS CHUBUT                                                                            ,39177,CHUBUT
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,107406,CHUBUT
ALIANZA FRENTE UNION CHUBUT SOMOS TODOS                                                             ,109076,CHUBUT
MOVIMIENTO POLO SOCIAL LA TERCERA POSICION DE LA GENTE                                              ,8184,CHUBUT
ALIANZA FRENTE CIVICO Y SOCIAL                                                                      ,74865,CATAMARCA
ALIANZA FRENTE PARA LA VICTORIA                                                                     ,89888,CATAMARCA
ALIANZA FRENTE TERCERA POSICION                                                                     ,15762,CATAMARCA
