agrupacion_nombre,votos_cantidad,distrito_nombre
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,66145,CIUDAD AUTÓNOMA DE BUENOS AIRES
HACEMOS POR NUESTRO PAIS,57607,CIUDAD AUTÓNOMA DE BUENOS AIRES
JUNTOS POR EL CAMBIO,767367,CIUDAD AUTÓNOMA DE BUENOS AIRES
LA LIBERTAD AVANZA,369424,CIUDAD AUTÓNOMA DE BUENOS AIRES
UNION POR LA PATRIA,600832,CIUDAD AUTÓNOMA DE BUENOS AIRES
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,352790,BUENOS AIRES
HACEMOS POR NUESTRO PAIS,367457,BUENOS AIRES
JUNTOS POR EL CAMBIO,2374023,BUENOS AIRES
LA LIBERTAD AVANZA,2533633,BUENOS AIRES
UNION POR LA PATRIA,4224688,BUENOS AIRES
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,3666,CATAMARCA
HACEMOS POR NUESTRO PAIS,14967,CATAMARCA
JUNTOS POR EL CAMBIO,39960,CATAMARCA
LA LIBERTAD AVANZA,74570,CATAMARCA
UNION POR LA PATRIA,99612,CATAMARCA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,21238,NEUQUÉN
HACEMOS POR NUESTRO PAIS,25215,NEUQUÉN
JUNTOS POR EL CAMBIO,86927,NEUQUÉN
LA LIBERTAD AVANZA,155394,NEUQUÉN
UNION POR LA PATRIA,134510,NEUQUÉN
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,6964,SAN LUIS
HACEMOS POR NUESTRO PAIS,20017,SAN LUIS
JUNTOS POR EL CAMBIO,66824,SAN LUIS
LA LIBERTAD AVANZA,138251,SAN LUIS
UNION POR LA PATRIA,86681,SAN LUIS
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,31895,CÓRDOBA
HACEMOS POR NUESTRO PAIS,665717,CÓRDOBA
JUNTOS POR EL CAMBIO,519252,CÓRDOBA
LA LIBERTAD AVANZA,769847,CÓRDOBA
UNION POR LA PATRIA,308016,CÓRDOBA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5244,LA PAMPA
HACEMOS POR NUESTRO PAIS,16947,LA PAMPA
JUNTOS POR EL CAMBIO,49911,LA PAMPA
LA LIBERTAD AVANZA,76341,LA PAMPA
UNION POR LA PATRIA,79229,LA PAMPA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,38572,MENDOZA
HACEMOS POR NUESTRO PAIS,47958,MENDOZA
JUNTOS POR EL CAMBIO,286475,MENDOZA
LA LIBERTAD AVANZA,469367,MENDOZA
UNION POR LA PATRIA,265740,MENDOZA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,12760,ENTRE RÍOS
HACEMOS POR NUESTRO PAIS,44720,ENTRE RÍOS
JUNTOS POR EL CAMBIO,250512,ENTRE RÍOS
LA LIBERTAD AVANZA,247640,ENTRE RÍOS
UNION POR LA PATRIA,276850,ENTRE RÍOS
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7315,CORRIENTES
HACEMOS POR NUESTRO PAIS,19118,CORRIENTES
JUNTOS POR EL CAMBIO,224519,CORRIENTES
LA LIBERTAD AVANZA,187916,CORRIENTES
UNION POR LA PATRIA,260040,CORRIENTES
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,17649,RÍO NEGRO
HACEMOS POR NUESTRO PAIS,27482,RÍO NEGRO
JUNTOS POR EL CAMBIO,79609,RÍO NEGRO
LA LIBERTAD AVANZA,148037,RÍO NEGRO
UNION POR LA PATRIA,166135,RÍO NEGRO
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,13533,SALTA
HACEMOS POR NUESTRO PAIS,47990,SALTA
JUNTOS POR EL CAMBIO,106684,SALTA
LA LIBERTAD AVANZA,309115,SALTA
UNION POR LA PATRIA,287756,SALTA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,7785,SANTIAGO DEL ESTERO
HACEMOS POR NUESTRO PAIS,13305,SANTIAGO DEL ESTERO
JUNTOS POR EL CAMBIO,49761,SANTIAGO DEL ESTERO
LA LIBERTAD AVANZA,141344,SANTIAGO DEL ESTERO
UNION POR LA PATRIA,402863,SANTIAGO DEL ESTERO
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,38553,SANTA FE
HACEMOS POR NUESTRO PAIS,183205,SANTA FE
JUNTOS POR EL CAMBIO,544677,SANTA FE
LA LIBERTAD AVANZA,657813,SANTA FE
UNION POR LA PATRIA,601241,SANTA FE
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10036,MISIONES
HACEMOS POR NUESTRO PAIS,29966,MISIONES
JUNTOS POR EL CAMBIO,104787,MISIONES
LA LIBERTAD AVANZA,305629,MISIONES
UNION POR LA PATRIA,275062,MISIONES
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2189,LA RIOJA
HACEMOS POR NUESTRO PAIS,20179,LA RIOJA
JUNTOS POR EL CAMBIO,27975,LA RIOJA
LA LIBERTAD AVANZA,89236,LA RIOJA
UNION POR LA PATRIA,97412,LA RIOJA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,5482,CHACO
HACEMOS POR NUESTRO PAIS,25804,CHACO
JUNTOS POR EL CAMBIO,171756,CHACO
LA LIBERTAD AVANZA,197596,CHACO
UNION POR LA PATRIA,310962,CHACO
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,2772,FORMOSA
HACEMOS POR NUESTRO PAIS,8793,FORMOSA
JUNTOS POR EL CAMBIO,55097,FORMOSA
LA LIBERTAD AVANZA,103911,FORMOSA
UNION POR LA PATRIA,187229,FORMOSA
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15122,CHUBUT
HACEMOS POR NUESTRO PAIS,26555,CHUBUT
JUNTOS POR EL CAMBIO,70717,CHUBUT
LA LIBERTAD AVANZA,120297,CHUBUT
UNION POR LA PATRIA,110820,CHUBUT
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,16006,JUJUY
HACEMOS POR NUESTRO PAIS,30775,JUJUY
JUNTOS POR EL CAMBIO,90095,JUJUY
LA LIBERTAD AVANZA,168921,JUJUY
UNION POR LA PATRIA,146027,JUJUY
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,10025,SAN JUAN
HACEMOS POR NUESTRO PAIS,27427,SAN JUAN
JUNTOS POR EL CAMBIO,103118,SAN JUAN
LA LIBERTAD AVANZA,155821,SAN JUAN
UNION POR LA PATRIA,147523,SAN JUAN
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,15152,TUCUMÁN
HACEMOS POR NUESTRO PAIS,42086,TUCUMÁN
JUNTOS POR EL CAMBIO,153130,TUCUMÁN
LA LIBERTAD AVANZA,365992,TUCUMÁN
UNION POR LA PATRIA,471145,TUCUMÁN
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4091,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
HACEMOS POR NUESTRO PAIS,9714,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
JUNTOS POR EL CAMBIO,15875,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
LA LIBERTAD AVANZA,35891,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
UNION POR LA PATRIA,40548,"TIERRA DEL FUEGO, ANTÁRTIDA E ISLAS DEL ATLÁNTICO SUR"
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD,4948,SANTA CRUZ
HACEMOS POR NUESTRO PAIS,11311,SANTA CRUZ
JUNTOS POR EL CAMBIO,28101,SANTA CRUZ
LA LIBERTAD AVANZA,62350,SANTA CRUZ
UNION POR LA PATRIA,65062,SANTA CRUZ
